ChEMBL ID,InChI Key,Name,SMILES,Type,Max Phase,Targets,Bioactivities,MW,LogP,MolMR,H Donors,H Acceptors,TPSA,Heavy Atom Count,Aromatic Rings,Rotatable Bonds,Ring Count
CHEMBL3039533,RXSARIJMSJWJLZ-CIAYNJNFSA-N,GRAZOPREVIR,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1.O,Small molecule,3.0,0.0,0.0,784.9330000000002,2.4772000000000016,200.42669999999947,3.0,11.0,226.72,55.0,2.0,7.0,7.0
CHEMBL1201060,JSXBVMKACNEMKY-UHFFFAOYSA-N,LOXAPINE HYDROCHLORIDE,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1.Cl,Small molecule,4.0,0.0,0.0,364.2760000000001,4.1932000000000045,100.48300000000005,0.0,4.0,28.07,24.0,2.0,0.0,4.0
CHEMBL2096648,XSQUKJJJFZCRTK-OUBTZVSYSA-N,UREA C 13,N[13C](N)=O,Small molecule,4.0,0.0,0.0,61.04835484,-0.9762000000000002,13.7708,2.0,1.0,69.11,4.0,0.0,0.0,0.0
CHEMBL2219411,IPNATXQRPWRHKD-UHFFFAOYSA-N,MOMELOTINIB DIHYDROCHLORIDE,Cl.Cl.N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,Small molecule,1.0,0.0,0.0,487.3910000000003,3.820780000000002,132.66689999999994,2.0,7.0,103.17,33.0,3.0,6.0,4.0
CHEMBL1200366,YHJDZIQOCSDIQU-OEDJVVDHSA-N,CEPHALEXIN HYDROCHLORIDE,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.Cl.O,Small molecule,4.0,0.0,0.0,401.87200000000007,0.04200000000000126,99.59070000000003,3.0,5.0,144.23000000000002,26.0,1.0,4.0,3.0
CHEMBL2104136,SKKDWRIEPIZVOR-UHFFFAOYSA-N,CLOMACRAN PHOSPHATE,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21.O=P(O)(O)O,Small molecule,4.0,0.0,0.0,398.82700000000006,3.9421000000000057,105.07060000000006,4.0,3.0,93.03000000000002,26.0,2.0,4.0,3.0
CHEMBL1200387,OFCJKOOVFDGTLY-UHFFFAOYSA-N,AMPHETAMINE ADIPATE,CC(N)Cc1ccccc1.O=C(O)CCCCC(=O)O,Small molecule,4.0,0.0,0.0,281.3519999999999,2.2923,77.53500000000005,3.0,3.0,100.62000000000002,20.0,1.0,7.0,1.0
CHEMBL2104992,BHECXGHXWKHZOY-DXPOFMJKSA-N,VESTIPITANT MESYLATE,CS(=O)(=O)O.Cc1cc(F)ccc1[C@H]1CNCCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Small molecule,2.0,0.0,0.0,587.5580000000004,5.435020000000005,128.94630000000006,2.0,4.0,89.95,39.0,2.0,3.0,3.0
CHEMBL3989805,NMTRXBJYASHMND-UXTSPRGOSA-N,ELZASONAN HYDROCHLORIDE,CN1CCN(c2ccccc2/C=C2\SCCN(c3ccc(Cl)c(Cl)c3)C2=O)CC1.Cl,Small molecule,2.0,0.0,0.0,484.88000000000017,5.287900000000006,132.65,0.0,4.0,26.79,30.0,2.0,3.0,4.0
CHEMBL1200321,FEPTXVIRMZIGFY-UHFFFAOYSA-N,SULFISOXAZOLE DIOLAMINE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C.OCCNCCO,Small molecule,4.0,0.0,0.0,372.4470000000002,0.23503999999999975,94.68120000000003,5.0,8.0,150.70999999999998,25.0,2.0,7.0,2.0
CHEMBL1092,QDWJJTJNXAKQKD-UHFFFAOYSA-N,TRIHEXYPHENIDYL HYDROCHLORIDE,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,Small molecule,4.0,29.0,75.0,337.93500000000023,4.752300000000004,99.06980000000007,1.0,2.0,23.47,23.0,1.0,5.0,3.0
CHEMBL4297265,RFSWVJXWZXQOSW-ZDFSRXSCSA-M,BLI-489,O=C([O-])C1=CS[C@@H]2/C(=C\c3cn4c(n3)COCC4)C(=O)N12.[Na+],Small molecule,1.0,0.0,0.0,327.2970000000001,-3.692899999999998,71.17500000000001,0.0,7.0,87.49,22.0,1.0,2.0,4.0
CHEMBL3989793,ZGHLCBJZQLNUAZ-UHFFFAOYSA-N,SODIUM SULFIDE,O.O.O.O.O.O.O.O.O.[Na+].[Na+].[S-2],Small molecule,2.0,0.0,0.0,240.18200000000002,-13.416699999999992,39.88920000000002,0.0,0.0,283.5,12.0,0.0,0.0,0.0
CHEMBL3181957,MRDBGMJEPGXQHJ-UHFFFAOYSA-N,ALMITRINE MESYLATE,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1.CS(=O)(=O)O.CS(=O)(=O)O,Small molecule,4.0,5.0,13.0,669.7770000000004,3.265200000000001,170.5745999999996,4.0,11.0,177.95,45.0,3.0,10.0,4.0
CHEMBL1200817,UXBPQRGCVJOTNT-COBSGTNCSA-N,LEVOMETHADYL ACETATE HYDROCHLORIDE,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl,Small molecule,4.0,7.0,10.0,389.96700000000004,5.076400000000006,114.52300000000005,0.0,3.0,29.54,27.0,2.0,8.0,2.0
CHEMBL1200970,VXPCQISYVPFYRK-UHFFFAOYSA-N,ETHOPROPAZINE HYDROCHLORIDE,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21.Cl,Small molecule,4.0,25.0,55.0,348.94300000000004,5.441400000000005,103.64400000000006,0.0,3.0,6.48,23.0,2.0,5.0,3.0
CHEMBL1200891,WXAYTPABEADAAB-UHFFFAOYSA-N,OXYPHENCYCLIMINE HYDROCHLORIDE,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,Small molecule,4.0,12.0,26.0,380.9160000000002,3.1535000000000015,104.66980000000005,1.0,5.0,62.129999999999995,26.0,1.0,5.0,3.0
CHEMBL971,QGMRQYFBGABWDR-UHFFFAOYSA-M,PENTOBARBITAL SODIUM,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+],Small molecule,4.0,2.0,23.0,248.258,-2.804299999999997,57.38070000000003,1.0,3.0,81.59,17.0,0.0,4.0,1.0
CHEMBL1200532,IEISBKIVLDXSMZ-UHFFFAOYSA-N,METHDILAZINE HYDROCHLORIDE,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1.Cl,Small molecule,4.0,63.0,66.0,332.90000000000003,4.662800000000004,96.86500000000005,0.0,3.0,6.48,22.0,2.0,2.0,4.0
CHEMBL1201051,QJHCNBWLPSXHBL-UHFFFAOYSA-N,CIMETIDINE HYDROCHLORIDE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N.Cl,Small molecule,4.0,0.0,0.0,288.808,1.0192,76.84510000000002,3.0,4.0,88.88999999999999,18.0,1.0,5.0,1.0
CHEMBL1345,YUFWAVFNITUSHI-UHFFFAOYSA-N,GUANETHIDINE MONOSULFATE,N=C(N)NCCN1CCCCCCC1.O=S(=O)(O)O,Small molecule,4.0,4.0,6.0,296.393,0.08277000000000057,73.61920000000003,5.0,4.0,139.74,19.0,0.0,3.0,1.0
